Lambda,Policy,Total Latency (s),Total Latency std (s),Avg Inference Time (s),Inference Time std (s),Avg Device Queue Length,Avg Cloud Queue Length
1.4000000000000001,Always Device (Llama-3-2-1B-Instruct-ONNX (Desktop PC)),0.1413151475904547,0.04458344659499957,0.12699165277086835,0.0222666065943501,0.02008785010556843,0.0
1.4000000000000001,Always Cloud (Llama-3-2-1B-Instruct (Open Router)),0.1472716836906803,0.06496541355095534,0.13066927581907567,0.04671442905906614,0.0,0.023283893256026676
1.4000000000000001,Round Robin 2x Device,0.12765752815342502,0.023335604039365482,0.12698018223151225,0.022295070340922447,0.0,0.0
1.4000000000000001,Round Robin 2x Cloud,0.13177443944786793,0.047711575417146504,0.13084367967901275,0.046850715254265166,0.0,0.0
1.4000000000000001,Round Robin (Device/Cloud),0.1296527800982346,0.03756948458771021,0.1288511510801005,0.036697651736995844,0.00048187972660770824,0.0006423574163568703
1.4000000000000001,Stateless Threshold,0.13302440298289456,0.04417702623765632,0.12636628415431664,0.035556755877647256,0.005072107763390487,0.0042655086683028145
1.4000000000000001,HERO,0.12706262943751778,0.033114196416154845,0.12640361745411272,0.03241034304083036,0.0005913105917365267,0.0003329146386534455
1.5000000000000002,Always Device (Llama-3-2-1B-Instruct-ONNX (Desktop PC)),0.14257768639050306,0.046290603442834456,0.12699688824584376,0.022281951984980262,0.023411937628367078,0.0
1.5000000000000002,Always Cloud (Llama-3-2-1B-Instruct (Open Router)),0.14874315519124684,0.06654053677461552,0.1306696367493662,0.04671418856121302,0.0,0.027157540914317872
1.5000000000000002,Round Robin 2x Device,0.12775976071320758,0.023454287012086975,0.1269854177064877,0.022266095004942837,0.0,0.0
1.5000000000000002,Round Robin 2x Cloud,0.1319099462713303,0.04783639188582576,0.13084394676446612,0.04684884874717983,0.0,0.0
1.5000000000000002,Round Robin (Device/Cloud),0.12977649223261095,0.03770095538716199,0.1288588827565008,0.03670348427722389,0.0005907098872778843,0.0007881037994846973
1.5000000000000002,Stateless Threshold,0.13354463154227514,0.044860281792851286,0.12636998464339436,0.03556003794310137,0.0058167735512933355,0.004963958656074292
1.5000000000000002,HERO,0.12718390927027914,0.03328104555166253,0.12643424672580358,0.03248749053863355,0.0007165863712847726,0.0004098679520297049
1.6,Always Device (Llama-3-2-1B-Instruct-ONNX (Desktop PC)),0.14389203500019399,0.0479652392584691,0.12700651996998172,0.022270361622704245,0.027063919539201214,0.0
1.6,Always Cloud (Llama-3-2-1B-Instruct (Open Router)),0.15026153968128073,0.06816428627539645,0.13067019835194899,0.04671447672609316,0.0,0.03140079360831947
1.6,Round Robin 2x Device,0.12787720434678926,0.02362605242584232,0.12699504943062562,0.02228195071641642,0.0,0.0
1.6,Round Robin 2x Cloud,0.1320545507618225,0.04797281134006516,0.13084445447611065,0.04684986026144067,0.0,0.0
1.6,Round Robin (Device/Cloud),0.12992067317725708,0.03783615005261805,0.1288772175078616,0.03670112560300899,0.0007186574949353013,0.0009537820431988597
1.6,Stateless Threshold,0.13405978814538425,0.045365722007319906,0.1263665876903159,0.03552612814855069,0.006624619832750948,0.005705959778051478
1.6,HERO,0.12734505456147663,0.03351138324053162,0.12648964741979465,0.032586937606882194,0.0008615931157069747,0.0005094444838296178
1.7000000000000002,Always Device (Llama-3-2-1B-Instruct-ONNX (Desktop PC)),0.1452026168058409,0.04966611258989403,0.12699132769678848,0.022272983134513917,0.031013158434913153,0.0
1.7000000000000002,Always Cloud (Llama-3-2-1B-Instruct (Open Router)),0.15182492057848104,0.06982986219304886,0.13066919482484826,0.04671387068821382,0.0,0.03602743251773055
1.7000000000000002,Round Robin 2x Device,0.12797384608670473,0.023790449081425677,0.12697985715743235,0.022274562582571336,0.0,0.0
1.7000000000000002,Round Robin 2x Cloud,0.13220641031832586,0.04811787694752474,0.13084358759561904,0.046849728303248406,0.0,0.0
1.7000000000000002,Round Robin (Device/Cloud),0.130029953802338,0.03798746966067136,0.12885564485322115,0.03670463697350455,0.0008585780534833686,0.0011412272839263814
1.7000000000000002,Stateless Threshold,0.1346192516728957,0.04617985269880824,0.1263634016529898,0.035572079685272984,0.007600157457134879,0.006459254894495111
1.7000000000000002,HERO,0.12743964864473234,0.03374239636719235,0.126476584861008,0.03271507041359282,0.00104781729757725,0.0005922455056246492
1.8000000000000003,Always Device (Llama-3-2-1B-Instruct-ONNX (Desktop PC)),0.14660336220994638,0.051441350387132934,0.1270146681331661,0.022280330766922214,0.03532111344490386,0.0
1.8000000000000003,Always Cloud (Llama-3-2-1B-Instruct (Open Router)),0.15344554745375674,0.07154685746034477,0.13067064584459384,0.04671348535365522,0.0,0.04106629023258812
1.8000000000000003,Round Robin 2x Device,0.12811543722328525,0.023980373378604106,0.1270031954616059,0.02228269270991086,0.0,0.0
1.8000000000000003,Round Robin 2x Cloud,0.13236866316614074,0.04827186643784594,0.130845015906769,0.04684993215569382,0.0,0.0
1.8000000000000003,Round Robin (Device/Cloud),0.13017980273040486,0.038137239737220226,0.12886629025256713,0.03670193866805284,0.0010155952936296787,0.0013528488716958022
1.8000000000000003,Stateless Threshold,0.13518865401113778,0.046848778252896406,0.12637617962773431,0.03556806893094914,0.008579669151615798,0.007310437093688957
1.8000000000000003,HERO,0.12764259030520397,0.033970844864545255,0.1265626035943902,0.03281642047325182,0.0012226843141794992,0.0007246807331166207
1.9000000000000001,Always Device (Llama-3-2-1B-Instruct-ONNX (Desktop PC)),0.14802615574238828,0.05321890222852571,0.12700357648036928,0.02227280302492067,0.04001252635961697,0.0
